id_department,department
7,AYACUCHO
21,CORONEL PRINGLES
28,CHACABUCO
35,GENERAL PEDERNERA
42,GOBERNADOR DUPUY
49,JUNÍN
56,LA CAPITAL
63,LIBERTADOR GENERAL SAN MARTÍN
