id_department,department
7,CAPITAL
14,GENERAL ALVEAR
21,GODOY CRUZ
28,GUAYMALLÉN
63,LUJÁN DE CUYO
70,MAIPÚ
77,MALARGÜE
84,RIVADAVIA
98,SAN MARTÍN
105,SAN RAFAEL
