id_department,department
7,BELGRANO
14,CASEROS
21,CASTELLANOS
28,CONSTITUCIÓN
35,GARAY
42,GENERAL LÓPEZ
49,GENERAL OBLIGADO
56,IRIONDO
63,LA CAPITAL
70,LAS COLONIAS
77,9 DE JULIO
84,ROSARIO
91,SAN CRISTÓBAL
98,SAN JAVIER
105,SAN JERÓNIMO
112,SAN JUSTO
119,SAN LORENZO
126,SAN MARTÍN
133,VERA
