,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
883,70740562380294,QUINTANA S.C.S.,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,AV PRESIDENTE ILLIA 216,
990,70740562380312,TELLO,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,CAIDOS EN MALVINAS 323,
1016,70740492380327,RIVADAVIA,74,SAN LUIS,49,JUNÍN,74049060000,MERLO,5881,PRESBITERO BECERRA N° 604,
1017,70740492380329,MARIA DEL PILAR,74,SAN LUIS,49,JUNÍN,74049060000,MERLO,5881,JUAN DE VIDELA N° 91,
1018,70740282380331,DE LA COSTA,74,SAN LUIS,28,CHACABUCO,74028090000,VILLA LARCA,5883,RUTA N° 1 S/N ENTRE SAN MARTIN Y 24 DE SEPTIEMBRE,
1032,70740562380321,CRISTO REY II,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,AV. CENTENARIO Nº 580 (ESTE),
1033,70740492380325,HOSPITAL,74,SAN LUIS,49,JUNÍN,74049060000,MERLO,5881,JUANA  AZURDUY 740,
1034,70740492380328,PARAVATI,74,SAN LUIS,49,JUNÍN,74049060000,MERLO,5881,AVENIDA DEL SOL Y CARLOS PELLEGRINI,
1035,70740492380332,LOS ALMENDROS,74,SAN LUIS,49,JUNÍN,74049060000,MERLO,5881,P Tissera 102 esq Pringles,
1055,70740562380408,LOS ALAMOS JUNIN,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,JUNIN 914,
1101,70740282380358,CURI,74,SAN LUIS,28,CHACABUCO,74028010000,CONCARAN,5770,AYACUCHO YPASAJE JUSTO DARACT S/N,
1102,70740282380369,SAN MIGUEL ARCANGEL,74,SAN LUIS,28,CHACABUCO,74028030000,NASCHEL,5759,SAN MARTIN N° 501,
1103,70740562380386,AMERICANA,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Falucho  y 25 de Agosto,
1104,70740562380411,LA PIRAMIDE,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,CIUDAD DEL ROSARIO Nº 360,
1110,70740072380390,GATICA,74,SAN LUIS,7,AYACUCHO,74007010000,CANDELARIA,5713,SAN MARTIN S/N,
1134,70740562380297,SAN BENITO,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Bº LOS PARAISOS MANZANA 273- CASA 8,
1139,70740282380364,SANTA ANA,74,SAN LUIS,28,CHACABUCO,74028070000,TILISARAO,5773,25 DE MAYO  832,
1140,70740632380366,DEL PUEBLO,74,SAN LUIS,63,LIBERTADOR GENERAL SAN MARTÍN,74063070000,SAN MARTIN,5755,SAN MARTIN S/N,
1166,70740282380360,NORTE,74,SAN LUIS,28,CHACABUCO,74028010000,CONCARAN,5770,JUAN DOMINGO PERON N° 1361,
1176,70740562380299,SABIN,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,ESTEBAN ADARO Y LAFINUR,
1183,70740562380314,EL CHORRILLO,74,SAN LUIS,56,LA CAPITAL,74056100003,EL CHORRILLO,5701,Acceso A Av. del Viento Chorrillero,
1200,70740562380298,DANBEL,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,BOLIVAR Nº 611,
1206,70740562380359,SIERRAS DEL SOL,74,SAN LUIS,56,LA CAPITAL,74056105,LA PUNTA,5710,"Avenida La Serrana S/N, Manzana 136, Lote 12",
1207,70740282380361,MEDALLA MILAGROSA,74,SAN LUIS,28,CHACABUCO,74028010000,CONCARAN,5770,JUAN MANUEL DE ROSAS ESQUINA JUNIN,
1234,70740212380348,SANTA RITA,74,SAN LUIS,21,CORONEL PRINGLES,74021060000,LA TOMA,5750,GARCIARENA Y BALCARCE,
1235,70740562380382,QUINTANA VII,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Caidos en Malvinas  121,
1236,70740562380384,QUINTANA V,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Avenida Lafinur  148,
1265,70740072380375,LOURDES II,74,SAN LUIS,7,AYACUCHO,74007050000,QUINES,5711,25 de Mayo 580,
1293,70740562380380,WAL-MART,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Avenida del Fundador Nº 1450,
1294,70740562380403,FARMAVIDA,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Pringles 1168,
1317,70740212380349,SAN FRANCISCO DE ASIS,74,SAN LUIS,21,CORONEL PRINGLES,74021060000,LA TOMA,5750,AVENIDA BELGRANO N° 310,
1369,70740562380394,LOS EUCALIPTOS,74,SAN LUIS,56,LA CAPITAL,74056100005,SAN ROQUE,5701,B° 465 VIV. M 25 C 30,
1416,70740492380345,SAN AGUSTIN,74,SAN LUIS,49,JUNÍN,74049060000,MERLO,5881,AVENIDA LOS ALMENDROS N° 34,
1487,70740562380385,PUNTANA,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,AVENIDA ESPAÑA Nº 571,
1488,70740562380399,DEL SOL,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,B° 142 M 329 C 26,
1489,70740562380400,FARMACITY 91,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,JUNIN 952,
1527,70740562380401,DE LA VIRGEN,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,AYACUCHO 1102,
1544,70740562380285,MARIA AUXILIADORA,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Avenida España 546,
1555,70740562380383,SAN ISIDRO,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Avenida Pte. Peron Nº 1028,
1556,70740562380396,DELICIA,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,AV. LAFINUR 660,
1588,70740562380288,CENTRAL,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,SAN MARTIN 650,
1644,70740562380290,LUCERO,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,AVENIDA CENTENARIO Nº 92,
1646,70740212380347,SAN DIEGO,74,SAN LUIS,21,CORONEL PRINGLES,74021060000,LA TOMA,5750,25 DE MAYO N° 10,
1711,70740562380440,SAN NICOLAS,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,BARRIO 164 VIVIENDAS - MANZANA 456 - CASA 27,
1718,70740562380422,LAS SIERRAS,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,JUNIN 1133,
2167,70740562380426,MANRIQUEZ,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,JULIO A. ROCA 1467,
2197,70740562380424,SAN RAMON,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,JUSTO DARACT 3178,
2416,70740562380425,SAN ELIAS,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,B° EL LINCE M 17 C 1,
2457,70740562380435,SEÑOR DE LA QUEBRADA,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Aristobulo del Valle y San Juan,
2854,70740562380434,FRANZI,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Bº 116 VIVIENDAS Manzana 267 Casa 8,
2882,70740562380423,FARMASALUD,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,ITALIA Y MARTIN DE LOYOLA,
3393,70740562380431,AIMAR,74,SAN LUIS,56,LA CAPITAL,74056100003,EL CHORRILLO,5701,"Ruta Provincial Nº 20 km 6,5",
3558,70740562380437,FENIX,74,SAN LUIS,56,LA CAPITAL,74056100003,EL CHORRILLO,5701,Avenida  Del Viento Chorrillero Nº 2383,
3882,70740562380433,MULLER,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Martin de Loyola Nº 653 (E),
7296,70740562380451,QUINTANA VI,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,San Martín  1262,
7297,70740562380453,DEL PILAR,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Cerro de la Gloria Bº 134 VIV MZA. 290 C 33,
7830,70740562380443,SAN JOSE,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Sargento Baigorria Nº 865,
8005,70740562380445,CALABRESI,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Av. España Nº 891,
8006,70740562380446,GABUTTI,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Olegario Andrade  Nº 395,
8011,70740562380442,SAN LUIS DE LA SIERRA S.R.L.,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Rivadavia Nº 1052,
8012,70740072380448,AVENIDA,74,SAN LUIS,7,AYACUCHO,74007070000,SAN FRANCISCO DEL MONTE DE ORO,5705,Avenida Sarmiento S/N,
8122,70740562380454,ALRIC,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,República del Líbano 81,
8194,70740562380457,MIGUEL ARCANGEL,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Juan Domingo Perón 355,
8668,70740562380447,D ALOISIO,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Estrada Nº 2010,
8955,70740562380449,LOS ALAMOS,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Pringles Nº 911,
9132,70740562380444,26 DE SEPTIEMBRE,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Belgrano Nº 816,
9580,70740562380464,DOSIS DE VIDA,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,COLON Nº 575,
9592,70740352380508,ALFA,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,SAN MARTIN 353,
9663,70740562380491,VIRGEN DEL VALLE,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Tomás Jofré Nº 1122,
9664,70740352380493,ROMANA S.R.L.,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,AVENIDA MITRE Nº 1402,
9688,70740352380486,BELGRANO,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,POTOSI  258,
9689,70740352380489,GUADALUPE,74,SAN LUIS,35,GENERAL PEDERNERA,74035070000,VILLA MERCEDES,5730,AVENIDA 25 DE MAYO 1461,
