id,name,id_location,id_department,postal_code,adress
70820842386456,DELVECCHIO,82084070000,84,2128,HUMBERTO PRIMO 659
70820562386459,MARCELO GARCIA,82056030000,56,2500,LAVALLE 1301
70820842386478,GRASSI,82084070000,84,2128,SARMIENTO 641
70820842386482,VIA CORDOBA,82084270000,84,2000,CORDOBA 5753 PB
70820842386520,VAZQUEZ,82084140000,84,2132,JUAN ELORZA 1551
70820842386521,MARCELO MARCHETTA,82084140000,84,2132,CORDOBA 1901
70820842386522,BIZZOTTO,82084270000,84,2000,COLON 1301
70820842386523,LORENZINI,82084270000,84,2000,NECOCHEA 1687
70820842386434,FARMACIA YASPARRA,82084270000,84,2000,MONTEVIDEO 1364
70820842386359,OTTOLINI,82084270000,84,2000,MENDOZA 5151
70820842386470,PERINETTI,82084270000,84,2000,H. Irigoyen 1078
70820842386391,BOGGIONE,82084270000,84,2000,BALCARCE816
70820072386395,ASTEGIANO,82007030000,7,2505,CALLE 18 Nº 798
70820072386396,SANTONI,82007060000,7,2512,SANTA FE 785
70820562886399,ASOCIACION MUTUAL FERROVIARIA,82056030000,56,2500,LAVALLE 472
70820842386401,IRIONDO,82084270000,84,2000,3 DE FEBRERO 3401
70820842386498,GERVATTI,82084270000,84,2000,Bv AVELLANEDA 967 BIS
70820842386500,MICA,82084270000,84,2000,CALLAO 301
70820842386505,RIOS,82084010000,84,2109,PRESIDENTE ROCA 371
70820842386506,CARATTOLI,82084010000,84,2109,ASURMENDI 501
70820842386471,SAAVEDRA,82084270000,84,2000,PARAGUAY 3502
70820142386477,PEDRIDO,82014010000,14,2183,SARMIENTO 1510
70820842386510,SDRIGOTTI,82084270000,84,2000,Av RONDEAU 2398
70820842386515,RAGAZZO,82084270000,84,2000,CONSTITUCION 940
70820842386476,BERDINI,82084070000,84,2128,9 DE JULIO 845
70820842386438,LA FLORIDA,82084270000,84,2000,Bv. Rondeau 3302
70820842386511,AGRELO,82084270000,84,2000,AGRELO 2364
70820842386494,ANTONELLI,82084270000,84,2000,WILDE 508
70820842386346,SARTOR,82084270000,84,2000,RIOJA 1925
70820842386369,BABINI,82084270000,84,2000,MENDOZA 7735
70820282386410,VAROLI,82028230000,28,2919,MORENO 1363
70820842386412,INTILE,82084270000,84,2000,GUEMES 2499
70820282386413,SAN PEDRO,82028230000,28,2919,RIVADAVIA 1754
70820842386414,VIDAL,82084270000,84,2000,SAN NICOLAS 301
70820142386419,PIETRODARCHI,82014050000,14,2170,GARIBALDI 2352
70820142386415,BLANCO,82014050000,14,2170,BUENOS AIRES 2430
70820142386418,OLMOS,82014050000,14,2170,MITRE Y GUEMES
70820422386420,CARELLI DE COLOMBO,82042020000,42,6103,QUINTANA 360
70820142386421,CAMPANINI,82014050000,14,2170,BV. ECHEVERRIA 2564
70820422386423,MOREIRA,82042250000,42,2613,SAN MARTIN 1220
70820842386424,RAMKIN,82084270000,84,2000,URQUIZA 5835
70820142386491,LIBARDI,82014010000,14,2183,Sarmiento 1367
70820842286441,HOSPITAL DR JUAN BAUTISTA ALBERDI,82084270000,84,2000,PUCCIO JOSE 575
70820562386442,SALVUCCI,82056140000,56,2144,9 DE JULIO 1253
70820842386443,FERRARI,82084270000,84,2000,CRESPO 2102
70820842386444,GALIZIA,82084270000,84,2000,Bv SEGUI 1701
70820842186512,HOSPITAL DE NIÑO ZONA NORTE (FCIA INTERNA),82084270000,84,2000,DE LOS TRABAJADORES 1331
70820842386386,CAPPONE,82084270000,84,2000,Bv OROÑO
70820842386408,NENCIONI,82084030000,84,2107,ITUZAINGO 347-2107
70820842386461,SANTA MONICA,82084270000,84,2000,OVIDIO LAGOS 3049
70820842386466,CASA,82084270000,84,2000,BAIGORRIA 1710
70820842386499,OVEID,82084270000,84,2000,JJ PASO 802
70821192386343,LORENZO,82119050000,119,2156,GRAL LOPEZ 26 PB
70821192186376,GRANADEROS A CABALLO,82119130000,119,2200,RICHERI 347
70820562386378,EL SOL,82056030000,56,2500,LAVALLE 939
70820842386518,LUCHETTA(dupl),82084270000,84,2000,BUENOS AIRES 1654
70820842386393,DI MONACO,82084270000,84,2000,PTE. ROCA 1462
70820842386404,PARISI,82084270000,84,2000,Av FRANCIA 1501
70820282386409,RIVADAVIA,82028230000,28,2919,RIVADAVIA 1400
70820842386411,LA UNIVERSIDAD,82084270000,84,2000,SALTA 2801
70820842386416,PECCHIO,82084270000,84,2000,Ov. LAGOS 4601
70820842386485,LA UNION,82084270000,84,2000,AYACUCHO 5576
70820842386488,SAENZ PEÑA,82084270000,84,2000,Av ARIJON 702
70820842386489,TORRESI,82084270000,84,2000,BUENOS AIRES 4271
70820842386490,SANTAMBROSIO,82084270000,84,2000,Av URIBURU 721
70820842386338,CUBO,82084270000,84,2000,MONTEVIDEO 1983
70821192386339,VITALE,82119050000,119,2156,GRAL SAVIO 214
70820842386341,CASADEI,82084270000,84,2000,ITALIA 1431
70821192386342,ORTIZ,82119050000,119,2156,DR ILLIA 21
70820422386427,ARMINCHIARDI,82042270000,42,2505,GRAL LOPEZ Y MITRE
70820842386428,ROVAI,82084270000,84,2000,SAN LUIS 2101
70820842386431,SCARAVAGLIONE,82084270000,84,2000,CORRIENTES 962
70820842386432,GABBI,82084270000,84,2000,SARMIENTO 1416
70820842386435,EXPRESS,82084270000,84,2000,Bv RONDEAU 4147
70820842386336,SCARPIGNATO,82084270000,84,2000,BV. OROÑO 1509
70820842386398,CICCONI,82084030000,84,2107,CERRITO 684
70820562386379,YOCCO,82056030000,56,2500,SAN MARTIN 901
70821192386380,GRISOLIA,82119130000,119,2200,SAN MARTIN 1118
70820562386370,AMERICA,82056030000,56,2500,EDISON 73
70821192386377,POPULAR,82119130000,119,2200,Bv OROÑO 621
70820842386384,MARINELLI,82084270000,84,2000,AYACUCHO 2097
70820072386387,FRANCISCONI,82007010000,7,2508,FLOTRON 1745
70820072386388,BRACCANI,82007010000,7,2508,SAN MARTIN 1795
70820072386389,GRIFFA,82007010000,7,2508,P. FERRERO 1564
70820842386452,DESANO,82084270000,84,2000,MITRE 2078
70820842386453,CARESTIA,82084270000,84,2000,PARAGUAY   2104
70820562886458,MUTUAL DE AYUDA ENTRE ASOCIADOS DE LA ASOCIACION DEPORTIVA EVERTON OLIMPIA (ADEO),82056030000,56,2500,LAVALLE 1304
70820842386347,MONTERO,82084270000,84,2000,A J DONADO BIS 714
70820842386348,SERGIO RODRIGUEZ,82084270000,84,2000,TUCUMAN 7782
70820842386349,BERTERO,82084270000,84,2000,EVA PERON 7025
70820842386350,ORIOLI,82084270000,84,2000,CORDOBA 2275
70820842386351,CAPOZZI,82084310000,84,2124,SAN MARTIN 2365
70820842386352,OESTE,82084270000,84,2000,CORDOBA 6694
70820562186353,COLONIA PSIQUIATRICO OLIVERO  DR ABELARDO FREYRE,82056100000,56,2206,Ruta 11 km. 356.5
70820842386361,FRANZ,82084270000,84,2000,MENDOZA 5802
70820142386362,PIOLETTI,82014050000,14,2170,LISANDRO DE LA TORRE 2601
70820842386501,PILAR,82084270000,84,2000,PUEYRREDON 353
70820842386503,AGUILA,82084270000,84,2000,CAFFERATA 632
70820842386360,SCLOSA,82084270000,84,2000,MENDOZA 5567
70820562386373,TAULAMET,82056030000,56,2500,LAPRIDA  802
70821192386374,SMYK,82119130000,119,2200,J. INGENIERON  1104
70821192386375,NOEL,82119130000,119,2200,Sgto CABRAL 1970
70820422386425,SAN GREGORIO,82042250000,42,2613,SAN MARTIN 964
70820842386472,MENONI(dupl),82084070000,84,2128,AYACUCHO 1392
70820842386495,BELGRANO,82084270000,84,2000,MENDOZA 6998
70820842386496,BENITEZ,82084270000,84,2000,Bv Avellaneda 735 Bis
70820842386497,BIZZARRI,82084270000,84,2000,JOSE INGENIEROS 876
70820562386371,SIMONE,82056030000,56,2500,OCAMPO 1501
70820842386457,BONICCHI,82084070000,84,2128,LISANDRO DE LA TORRE 55
70820842386480,RIVERO,82084070000,84,2128,JUAN B. JUSTO 658
70820842186354,VEGA,82084310000,84,2124,PASTEUR 2298
70820842386356,MILATICH,82084310000,84,2124,BUENOS AIRES 2398
70820842386357,COBELLI,82084270000,84,2000,CORDOBA 5973
70820842386358,PISTACCHIA,82084270000,84,2000,EVA PERON 8055
70820842386433,DE PAOLA,82084270000,84,2000,SANTIAGO 1499
70820842386436,DEL BARRIO,82084270000,84,2000,Bv RONDEAU 3411
70820562886437,MUTUAL,82056140000,56,2144,LAS HERAS 1164
70821192386439,LOPEZ,82119130000,119,2200,SAN MARTIN 1302
70820842386463,DEL PRETE,82084070000,84,2128,MORENO 295
70820842386464,LORENZETTI,82084270000,84,2000,NECOCHEA 1795
70820842386467,GENCIANA,82084270000,84,2000,MAESTROS SANTAFESINOS 4885
70820842386468,GRILLI,82084270000,84,2000,SAN JUAN 601
70820842386469,ALEJANDRA PORTA,82084270000,84,2000,BAIGORRIA 1477
70820142386473,GALLI,82014010000,14,2183,9 DE JULIO 1361
