id_department,department
7,BURRUYACÚ
14,CRUZ ALTA
21,CHICLIGASTA
28,FAMAILLÁ
35,GRANEROS
42,JUAN BAUTISTA ALBERDI
49,LA COCHA
56,LEALES
63,LULES
70,MONTEROS
77,RÍO CHICO
84,CAPITAL
91,SIMOCA
98,TAFÍ DEL VALLE
105,TAFÍ VIEJO
112,TRANCAS
119,YERBA BUENA
