id_location,location
6410010001,ITUZAINGO CENTRO
6410010002,ITUZAINGO SUR
6412010001,DEL VISO
6412010002,JOSE C. PAZ
6412010003,TORTUGUITAS
6413040000,FORTIN TIBURCIO
6413050000,JUNIN
6413070000,MORSE
6420010000,LAS TONINAS
6420020002,LUCILA DEL MAR
6420020003,MAR DE AJO
6420020005,SAN BERNARDO
6420030000,SAN CLEMENTE DEL TUYU
6420040001,MAR DEL TUYU
6420040002,SANTA TERESITA
6427010001,ALDO BONZI
6427010002,CIUDAD EVITA
6427010003,GONZALEZ CATAN
6427010004,GREGORIO DE LAFERRERE
6427010005,ISIDRO CASANOVA
6427010006,LA TABLADA
6427010007,LOMAS DEL MIRADOR
6427010008,RAFAEL CASTILLO
6427010009,RAMOS MEJIA
6427010010,SAN JUSTO
6427010011,TAPIALES
6427010013,VILLA EDUARDO MADERO
6427010014,VILLA LUZURIAGA
6427010015,VIRREY DEL PINO
6434010002,LANUS ESTE
6434010003,LANUS OESTE
6434010004,MONTE CHINGOLO
6434010006,VALENTIN ALSINA
6441030001,ABASTO
6441030009,CITY BELL
6441030011,JOAQUIN GORINA
6441030012,JOSE HERNANDEZ
6441030015,LA PLATA
6441030016,LISANDRO OLMOS
6441030017,LOS HORNOS
6441030018,MANUEL B. GONNET
6441030019,RINGUELET
6441030021,TOLOSA
6441030022,TRANSRADIO
6441030023,VILLA ELISA
6441030024,VILLA ELVIRA
6448010000,LAPRIDA
6455030000,LAS FLORES
6462010000,ALBERDI VIEJO
6462020000,EL DORADO
6462040000,JUAN BAUTISTA ALBERDI
6462050000,LEANDRO N. ALEM
6462060000,VEDIA
6469010000,ARENAZA
6469020000,BAYAUCA
6469050000,CORONEL MARTINEZ DE HOZ
6469060000,EL TRIUNFO
6469070000,LAS TOSCAS
6469080000,LINCOLN
6469090000,PASTEUR
6469100000,ROBERTS
6476030000,LOBERIA
6476050000,SAN MANUEL
6483040000,LOBOS
6490010001,BANFIELD
6490010002,LLAVALLOL
6490010003,LOMAS DE ZAMORA
6490010004,TEMPERLEY
6490010005,TURDERA
6490010006,VILLA CENTENARIO
6490010007,VILLA FIORITO
6497020000,CARLOS KEEN
6497060000,LUJAN
6497060002,CORTINES
6497060005,VILLA FLANDRIA NORTE (PUEBLO NUEVO)
6497060008,OPEN DOOR
6497070000,OLIVERA
6497090000,TORRES
6505040000,MAGDALENA
6511020000,MAIPU
6515010002,GRAND BOURG
6515010003,INGENIERO ADOLFO SOURDEAUX
6515010004,INGENIERO PABLO NOGUES
6515010005,LOS POLVORINES
6515010008,VILLA DE MAYO
6518010000,CORONEL VIDAL
6518020000,GENERAL PIRAN
6518050003,MAR DE COBO
6518060005,SANTA CLARA DEL MAR
6525020002,MARCOS PAZ
6532010000,GOWLAND
6532020000,MERCEDES
6539010001,LIBERTAD
6539010002,MARIANO ACOSTA
6539010003,MERLO
6539010004,PONTEVEDRA
6539010005,SAN ANTONIO DE PADUA
6547020000,SAN MIGUEL DEL MONTE
6553020000,MONTE HERMOSO
6560010002,FRANCISCO ALVAREZ
6560010003,LA REJA
6560010004,MORENO
6560010005,PASO DEL REY
6560010006,TRUJUI
6568010001,CASTELAR
6568010002,EL PALOMAR
6568010003,HAEDO
6568010004,MORON
6574030000,NAVARRO
6581030000,JUAN N. FERNANDEZ
6581040001,NECOCHEA
6581040002,QUEQUEN
6588010000,ALFREDO DEMARCHI
6588040000,DUDIGNAC
6588100000,9 DE JULIO
6595060000,HINOJO
6595060001,COLONIA HINOJO
6595070000,OLAVARRIA
6595100000,SIERRA CHICA
6602010000,BAHIA SAN BLAS
6602030000,CARMEN DE PATAGONES
6602060000,STROEDER
6602070000,VILLALONGA
6609030000,FRANCISCO MADERO
6609040000,JUAN JOSE PASO
6609060000,MONES CAZON
6609080000,PEHUAJO
6616030000,PELLEGRINI
6623010000,ACEVEDO
6623030000,GUERRICO
6623050000,JUAN ANCHORENA
6623070000,MANUEL OCAMPO
6623100000,PERGAMINO
6630020000,PILA
6638040001,DEL VISO
6638040002,FATIMA
6638040003,LA LONJA
6638040005,MANZANARES
6638040008,PILAR
6638040009,PRESIDENTE DERQUI
6638040014,VILLA ROSA
6638040015,ZELAYA
6644010001,CARILO
6644010002,OSTENDE
